愛飲	あいいん	"애음, 즐겨 마심"	
税関	ぜいかん	세관	
世紀	せいき	세기	
請求	せいきゅう	청구	
税金	ぜいきん	세금	
生計	せいけい	생계	
製作	せいさく	"(물건, 상품) 제작"	
制作	せいさく	"(예술작품, 방송) 제작"	
正式	せいしき	정식	
性質	せいしつ	성질	
青春	せいしゅん	청춘	
青少年	せいしょうねん	청소년	
精神	せいしん	정신	
成人	せいじん	"성인, 어른"	
整数	せいすう	정수	
清掃	せいそう	청소	
成長	せいちょう	"생장, 성장"	
晴天	せいてん	"맑은 하늘, 맑은 날씨"	
成年	せいねん	성년	
生年月日	せいねんがっぴ	생년월일	
性能	せいのう	성능	
整備	せいび	정비	
政府	せいふ	정부	
性別	せいべつ	성별	
正方形	せいほうけい	"정방형, 정사각형"	
姓名	せいめい	"성명, 이름"	
声明	せいめい	"성명, 의견"	
制約	せいやく	"제약, 제한"	
生理	せいり	생리	
成立	せいりつ	성립	
勢力	せいりょく	세력	
西暦	せいれき	"서력, 서기"	
咳	せき	기침	
石炭	せきたん	석탄	
赤道	せきどう	적도	
石油	せきゆ	석유	
世帯	せたい	"세대, 가구"	
世代	せだい	세대	
説	せつ	"설, 주장, 의견"	
接近	せっきん	접근	
設計	せっけい	설계	
絶好	ぜっこう	"절호, 더 없이 좋음"	
接触	せっしょく	접촉	
設定	せってい	설정	
説得	せっとく	설득	
絶滅	ぜつめつ	"절멸, 멸종, 근절"	
設立	せつりつ	설립	
瀬戸物	せともの	도자기	
せりふ		"대사, 틀에 박힌 말"	
栓	せん	마개	
善	ぜん	"선, 올바르고 착함"	
全額	ぜんがく	전액	
選挙	せんきょ	선거	
専業	せんぎょう	전업	
前言	ぜんげん	"전언, 앞서 한 말"	
洗剤	せんざい	세제	
選出	せんしゅつ	선출	
前進	ぜんしん	전진	
扇子	せんす	쥘부채	
専制	せんせい	전제	
先々月	せんせんげつ	"지지난달, 전전달"	
先々週	せんせんしゅう	전전주	
先祖	せんぞ	선조	
専属	せんぞく	전속	
先端	せんたん	"첨단, 선두"	
先着	せんちゃく	선착	
先頭	せんとう	선두	
扇風機	せんぷうき	선풍기	
洗面	せんめん	세면	
専用	せんよう	전용	
線路	せんろ	선로	
象	ぞう	코끼리	
騒音	そうおん	소음	
増加	ぞうか	증가	
送金	そうきん	송금	
ぞうきん		걸레	
増減	ぞうげん	증감	
倉庫	そうこ	창고	
創作	そうさく	창작	
掃除	そうじ	청소	
葬式	そうしき	장례식	
造船	ぞうせん	조선	
想像	そうぞう	상상	
相続	そうぞく	상속	
増大	ぞうだい	증대	
送別	そうべつ	송별	
草履	ぞうり	"(일본) 짚신, 샌들"	
総理大臣	そうりだいじん	총리대신	
送料	そうりょう	"송료, 배송료, 운송료"	
測定	そくてい	측정	
測量	そくりょう	측량	
底	そこ	"바닥, 밑"	
素質	そしつ	소질	
祖先	そせん	"선조, 조상"	
続行	ぞっこう	속행	
袖	そで	소매	
そろばん		"주판, 계산, 이해타산"	
存在	そんざい	존재	
損失	そんしつ	손실	
存続	そんぞく	존속	
田	た	논	
台	だい	"대, 토대, 기초"	
退学	たいがく	퇴학	
大学院	だいがくいん	대학원	
大気	たいき	"대기, 공기"	
大工	だいく	목수	
体系	たいけい	체계	
対決	たいけつ	대결	
体験	たいけん	체험	
太鼓	たいこ	북	
対策	たいさく	대책	
大使	たいし	대사	
体重	たいじゅう	체중	
退出	たいしゅつ	퇴출	
対象	たいしょう	대상	
対照	たいしょう	대조	
大小	だいしょう	"대소, 크고 작음"	
退場	たいじょう	퇴장	
大豆	だいず	"대두, 콩"	
体制	たいせい	체제	
体積	たいせき	"체적, 부피"	
大戦	たいせん	대전	
体操	たいそう	체조	
態度	たいど	태도	
大統領	だいとうりょう	대통령	
対比	たいひ	"대비, 대조"	
代表	だいひょう	대표	
大部分	だいぶぶん	"대부분, 거의"	
逮捕	たいほ	체포	
大木	たいぼく	"거목, 큰 나무"	
代名詞	だいめいし	대명사	
太陽	たいよう	"태양, 해"	
代理	だいり	대리	
大陸	たいりく	대륙	
対話	たいわ	대화	
田植え	たうえ	"모내기, 이앙"	
楕円	だえん	타원	
宝	たから	"보물, 보배"	
滝	たき	폭포	
助け	たすけ	"도움, 구조"	
戦い	たたかい	"싸움, 전쟁"	
立場	たちば	"설 곳, 입장, 처지, 관점"	
脱線	だっせん	탈선	
脱退	だったい	탈퇴	
種	たね	"씨앗, 원인"	
束	たば	"다발, 묶음, 뭉치"	
足袋	たび	일본식 버선	
球	たま	"구, 공"	
玉	たま	"옥, 구슬"	
弾	たま	"총알, 탄알"	
試し	ためし	"시험, 시도"	
便り	たより	"소식, 정보"	
頼り	たより	"의지, 연고, 연줄"	
段	だん	"단, 계단"	
段階	だんかい	단계	
短期	たんき	단기	
炭鉱	たんこう	탄광	
誕生	たんじょう	탄생	
たんす		"옷장, 장롱"	
淡水	たんすい	"담수, 민물"	
断水	だんすい	단수	
単数	たんすう	단수	
短大	たんだい	전문대학	
団地	だんち	단지	
担当	たんとう	담당	
単独	たんどく	단독	
短編	たんぺん	단편	
田んぼ	たんぼ	논	
治安	ちあん	치안	
地域	ちいき	지역	
地下水	ちかすい	지하수	
地区	ちく	지구	
知事	ちじ	지사	
地質	ちしつ	지질	
知人	ちじん	지인	
知性	ちせい	지성	
地帯	ちたい	지대	
地点	ちてん	"지점, 곳"	
知能	ちのう	지능	
地平線	ちへいせん	지평선	
地名	ちめい	지명	
着陸	ちゃくりく	착륙	
中央	ちゅうおう	중앙	
中古	ちゅうこ	중고	
中旬	ちゅうじゅん	중순	
中心	ちゅうしん	중심	
中世	ちゅうせい	중세	
中途	ちゅうと	중도	
長期	ちょうき	장기	
彫刻	ちょうこく	조각	
調査	ちょうさ	조사	
長女	ちょうじょ	"장녀, 맏딸"	
調整	ちょうせい	조정	
ちょうだい		받음	
長短	ちょうたん	"장단, 길고 짧음, 장단점"	
頂点	ちょうてん	"정상, 꼭대기"	
長男	ちょうなん	"장남, 맏아들"	
長方形	ちょうほうけい	"장방형, 직사각형"	
調味料	ちょうみりょう	조미료	
調理	ちょうり	조리	
貯金	ちょきん	저금	
直後	ちょくご	"직후, 바로 뒤"	
直線	ちょくせん	직선	
直通	ちょくつう	직통	
直訳	ちょくやく	직역	
直流	ちょくりゅう	직류	
直角	ちょっかく	직각	
直径	ちょっけい	직경	
ちり紙	ちりがみ	"휴지, 화장지"	
通過	つうか	통과	
通貨	つうか	"통화, 유통 화폐"	
通信	つうしん	통신	
通帳	つうちょう	통장	
通訳	つうやく	통역	
通用	つうよう	통용	
通路	つうろ	통로	
突き当り	つきあたり	막다른 곳	
月日	つきひ	"세월, 시간, 월일, 날짜"	
作り	つくり	"만듦, 만듦새, 몸집"	
続き	つづき	"연결, 계속"	
勤め	つとめ	근무	
務め	つとめ	"할 일, 임무"	
綱	つな	밧줄	
翼	つばさ	날개	
粒	つぶ	"알, 낱알"	
罪	つみ	죄	
つめ		"손톱, 발톱"	
つや		"윤기, 광택"	
梅雨	つゆ・ばいう	장마	
強目	つよめ	강한 편임	
釣り	つり	낚시	
連れ	つれ	"동행, 한패"	
出会い・出合い	であい	우연히 만남	
提案	ていあん	제안	
定員	ていいん	정원	
低下	ていか	저하	
定価	ていか	정가	
定期券	ていきけん	정기권	
定休日	ていきゅうび	정기 휴일	
停車	ていしゃ	정차	
提出	ていしゅつ	제출	
定食	ていしょく	정식	
定着	ていちゃく	정착	
定年	ていねん	정년	
出入り	でいり	"출입, 드나듦"	
出入り口	でいりぐち	출입구	
停留所	ていりゅうじょ	정류장	
手入れ	ていれ	"고침, 손질함, 보살핌"	
敵	てき	적	
出来事	できごと	"(우발적인) 사건, 사고"	
適用	てきよう	적용	
手首	てくび	손목	
弟子	でし	제자	
手品	てじな	"요술, 속임수"	
手帳	てちょう	수첩	
鉄	てつ	"철, 쇠"	
哲学	てつがく	철학	
徹底	てってい	철저	
鉄道	てつどう	철도	
鉄砲	てっぽう	"총, 총포류"	
手ぬぐい	てぬぐい	수건	
手前	てまえ	바로 앞	
転換	てんかん	전환	
伝記	でんき	전기	
電球	でんきゅう	전구	
典型	てんけい	전형	
天候	てんこう	"기후, 날씨"	
天才	てんさい	천재	
天災	てんさい	"천재, 자연재해"	
電子	でんし	전자	
点字	てんじ	점자	
天井	てんじょう	천장	
転職	てんしょく	"전직, 이직"	
点数	てんすう	점수	
伝染	でんせん	전염	
電柱	でんちゅう	"전신주, 전봇대"	
天然	てんねん	천연	
電波	でんぱ	전파	
電流	でんりゅう	전류	
電力	でんりょく	전력	
堂	とう	"당, 무리"	
塔	とう	탑	
銅	どう	"동, 구리"	
答案	とうあん	답안(지)	
統一	とういつ	통일	
同格	どうかく	동격	
峠	とうげ	"고개, 고비"	
統計	とうけい	통계	
登校	とうこう	등교	
同行	どうこう	동행	
動作	どうさ	동작	
東西	とうざい	동서	
当時	とうじ	당시	
動詞	どうし	동사	
同時	どうじ	동시	
当日	とうじつ	당일	
投書	とうしょ	투서	
登場	とうじょう	등장	
当選	とうせん	당선	
逃走	とうそう	도주	
灯台	とうだい	등대	
道徳	どうとく	도덕	
盗難	とうなん	도난	
当番	とうばん	당번	
逃避	とうひ	도피	
投票	とうひょう	투표	
等分	とうぶん	등분	
灯油	とうゆ	등유	
東洋	とうよう	동양	
童謡	どうよう	동요	
同僚	どうりょう	동료	
動力	どうりょく	동력	
童話	どうわ	동화	
都会	とかい	"도회, 도시"	
毒	どく	독	
独身	どくしん	독신	
独占	どくせん	"독점, 독차지"	
特長	とくちょう	특별한 장점	
特売	とくばい	"특매, 특별히 싸게 팜"	
独立	どくりつ	독립	
床の間	とこのま	도코노마(일본식 방의 바닥 일부를 높게 만들어 장식품을 두는 곳)	
登山	とざん	등산	
年月	としつき	"연월, 세월"	
図書	としょ	도서	
都心	としん	도심	
土台	どだい	"토대, 기초"	
戸棚	とだな	찬장	
途端	とたん	"찰나, 바로 그 순간"	
土地	とち	"토지, 그 지방"	
虎	とら	"호랑이, 범"	
どんぶり		덮밥	
内線	ないせん	내선	
眺め	ながめ	"전망, 풍경"	
中指	なかゆび	"중지, 가운뎃손가락"	
仲良し	なかよし	사이가 좋음	
流れ	ながれ	"흐름, 물결, 중단"	
無し	なし	없음	
なぞ		"수수께끼, 불가사의"	
なぞなぞ		수수께끼(놀이)	
納得	なっとく	"납득, 이해"	
鍋	なべ	냄비	
悩み	なやみ	"괴로움, 고민"	
縄	なわ	"새끼, 포승줄"	
難関	なんかん	난관	
南極	なんきょく	남극	
南米	なんべい	남미	
南北	なんぼく	남북	
虹	にじ	무지개	
日常	にちじょう	일상	
日用品	にちようひん	"일상용품, 생필품"	
日光	にっこう	"일광, 햇볕"	
入手	にゅうしゅ	입수	
入賞	にゅうしょう	입상	
女房	にょうぼう	"처, 아내"	
任務	にんむ	임무	
任命	にんめい	임명	
布	ぬの	"직물, 포목"	
値	ね	"값, 가격, 값어치"	
値上がり	ねあがり	값이 오름	
願い	ねがい	"소원, 바람"	
値下がり	ねさがり	값이 내림	
ねずみ		쥐	
値段	ねだん	값	
熱帯	ねったい	열대	
熱中	ねっちゅう	열중	
値引	ねびき	"값을 깎음, 깎아 줌"	
寝巻	ねまき	잠옷	
根本	ねもと	"뿌리, 근본"	
狙い	ねらい	"겨냥, 목적"	
年間	ねんかん	연간	
年月	ねんげつ	"연월, 세월"	
年功序列	ねんこうじょれつ	연공서열	
年始	ねんし	"연시, 연초"	
年末	ねんまつ	연말	
野	の	"들, 들판"	
脳	のう	뇌	
能	のう	"능력, 효능"	
農家	のうか	농가	
農業	のうぎょう	농업	
農産物	のうさんぶつ	농산물	
農村	のうそん	농촌	
濃度	のうど	농도	
農民	のうみん	농민	
農薬	のうやく	농약	
能率	のうりつ	능률	
軒	のき	처마	
のこぎり		톱	
残り	のこり	"남은 것, 나머지"	
望み	のぞみ	"바람, 소망"	
上り	のぼり	"오름, 올라감"	
場	ば	"장소, 곳, 자리, 경우"	
灰	はい	재	
俳句	はいく	하이쿠(17음의 일본 전통시)	
拝啓	はいけい	배계(편지 첫머리에 쓰는 인사말)	
配置	はいち	배치	
売店	ばいてん	매점	
売買	ばいばい	매매	
俳優	はいゆう	배우	
配列	はいれつ	배열	
墓	はか	무덤	
博士	はかせ	박사	
はかり		저울	
吐き気	はきけ	구역질	
白紙	はくし	백지	
博物館	はくぶつかん	박물관	
歯車	はぐるま	톱니바퀴	
はさみ		가위	
破産	はさん	파산	
端	はし	"끝, 선단, 가장자리"	
はしご		사다리	
初め	はじめ	"처음, 최초"	
始め	はじめ	"(일의) 시작, 기원"	
柱	はしら	기둥	
はす		"비스듬함, 경사"	
旗	はた	"기, 깃발"	
肌	はだ	"피부, 살갗"	
裸	はだか	"알몸, 맨몸"	
肌着	はだぎ	"내의, 속옷"	
働き	はたらき	"활약, 활동, 작용, 기능"	
発汗	はっかん	발간	
罰金	ばっきん	벌금	
発言	はつげん	발언	
発車	はっしゃ	발차	
花束	はなたば	꽃다발	
花嫁	はなよめ	"신부, 새색시"	
羽	はね	"날개, 깃"	
ばね		"용수철, 스프링"	
幅	はば	"폭, 너비"	
歯磨き	はみがき	"양치(질), 치약"	
早口	はやくち	말이 빠름	
腹	はら	"배, 복부"	
原	はら	"들, 벌판"	
針金	はりがね	철사	
番	ばん	"순서, 차례"	
半径	はんけい	반경	
半減	はんげん	반감	
判子	はんこ	도장	
反抗	はんこう	반항	
万歳	ばんざい	만세	
判事	はんじ	판사	
万全	ばんぜん	만전	
番地	ばんち	번지	
半島	はんとう	반도	
犯人	はんにん	범인	
反発	はんぱつ	반발	
日当たり	ひあたり	"볕이 듦, 양지"	
被害	ひがい	피해	
日陰	ひかげ	"응달, 음지"	
引き算	ひきざん	"뺄셈, 감산"	
引き分け	ひきわけ	"비김, 무승부"	
飛行	ひこう	비행	
ひざ		무릎	
日差し・陽射し	ひざし	"햇살, 햇볕"	
ひじ		팔꿈치	
非常	ひじょう	"비상, 긴급사태"	
額	ひたい	이마	
筆記	ひっき	필기	
日付	ひづけ	"일자, 날짜"	
筆者	ひっしゃ	필자	
必需品	ひつじゅひん	필수품	
必須	ひっす	필수	
筆跡	ひっせき	필적	
否定	ひてい	부정	
一口	ひとくち	"한 입, 한마디 (말)"	
一言	ひとこと	"일언, 한마디 (말)"	
人込み	ひとごみ	"붐빔, 북적임"	
人通り	ひとどおり	사람의 왕래	
瞳	ひとみ	"눈동자, 동공"	
一休み	ひとやすみ	잠깐 쉼	
独り言	ひとりごと	"혼잣말, 독백"	
一人一人	ひとりひとり	"한 사람 한 사람, 개개인"	
非難	ひなん	비난	
避難	ひなん	피난	
日にち	ひにち	"날, 날짜"	
日の入り	ひのいり	"일몰, 해넘이"	
日の出	ひので	"일출, 해돋이"	
響き	ひびき	울림	
百科事典	ひゃっかじてん	백과사전	
美容	びよう	미용	
表	ひょう	표	
表紙	ひょうし	표지	
標準	ひょうじゅん	표준	
表情	ひょうじょう	표정	
病状	びょうじょう	병세	
平等	びょうどう	평등	
病人	びょうにん	"병자, 환자"	
標本	ひょうほん	표본	
評論	ひょうろん	평론	
疲労	ひろう	피로	
広さ	ひろさ	넓이	
広場	ひろば	광장	
品	ひん	"품격, 품질"	
瓶	びん	병	
便	びん	"나름, 이동수단"	
品質	ひんしつ	품질	
便せん	びんせん	편지지	
瓶詰め	びんづめ	병조림	
風習	ふうしゅう	풍습	
風船	ふうせん	"풍선, 기구"	
封筒	ふうとう	봉투	
不運	ふうん	불운	
笛	ふえ	피리	
不可	ふか	"옳지 않음, 불가능, 불합격"	
武器	ぶき	무기	
不況	ふきょう	불황	
付近	ふきん	부근	
不均衡	ふきんこう	불균형	
副詞	ふくし	부사	
複写	ふくしゃ	복사	
複数	ふくすう	복수	
服装	ふくそう	"복장, 옷차림"	
袋	ふくろ	"자루, 주머니"	
不景気	ふけいき	불경기	
不幸	ふこう	불행	
符号	ふごう	"부호, 표시"	
夫妻	ふさい	"부처, 부부"	
不在	ふざい	부재	
節	ふし	"마디, 절"	
武士	ぶし	무사	
部首	ぶしゅ	(한자의) 부수	
負傷	ふしょう	부상	
ふすま		맹장지	
不正	ふせい	"부정, 비리"	
付属	ふぞく	부속	
双子	ふたご	쌍둥이	
縁	ふち	"가장자리, 테두리"	
付着	ふちゃく	부착	
不通	ふつう	"불통, 두절"	
物質	ぶっしつ	물질	
物理	ぶつり	물리	
筆	ふで	붓	
不動	ふどう	"부동, 확고함"	
不動産	ふどうさん	부동산	
船便	ふなびん	"선편, 배편"	
部品	ぶひん	부품	
父母	ふぼ	부모	
不満	ふまん	"불만, 불만족"	
踏切	ふみきり	(철도의) 건널목	
舞踊	ぶよう	무용	
ふるさと		고향	
ふろしき		보자기	
雰囲気	ふんいき	분위기	
噴火	ふんか	분화	
分割	ぶんかつ	분할	
文芸	ぶんげい	문예	
文献	ぶんけん	문헌	
噴水	ふんすい	분수	
分数	ぶんすう	분수	
文体	ぶんたい	문체	
分配	ぶんぱい	분배	
分布	ぶんぷ	분포	
分別	ぶんべつ	분별	
文脈	ぶんみゃく	문맥	
文明	ぶんめい	문명	
分類	ぶんるい	분류	
塀	へい	담	
閉会	へいかい	폐회	
平行	へいこう	평행	
兵隊	へいたい	"군대, 병사"	
平野	へいや	평야	
へそ		배꼽	
別	べつ	"구별, 차이, 다름"	
別館	べっかん	별관	
別荘	べっそう	별장	
便	べん	"편의, 편리"	
変換	へんかん	변환	
変速	へんそく	변속	
法	ほう	"법, 법률"	
棒	ぼう	"몽둥이, 막대기"	
放映	ほうえい	방영	
望遠鏡	ぼうえんきょう	망원경	
防火	ぼうか	방화	
方角	ほうがく	"방위, 방향"	
法学	ほうがく	법학	
ほうき		"비, 빗자루"	
法規	ほうき	법규	
坊さん	ぼうさん	"스님, 중을 친숙하게 부름"	
防止	ぼうし	방지	
方式	ほうしき	방식	
包装	ほうそう	포장	
放送局	ほうそうきょく	방송국	
法則	ほうそく	법칙	
包帯	ほうたい	붕대	
包丁	ほうちょう	식칼	
方程式	ほうていしき	방정식	
防犯	ぼうはん	방법	
頬	ほお・ほほ	"볼, 뺨"	
牧場	ぼくじょう	목장	
牧畜	ぼくちく	목축	
保険	ほけん	보험	
保護	ほご	보호	
歩行	ほこう	보행	
ほこり		먼지	
誇り	ほこり	"자랑, 긍지"	
募集	ぼしゅう	모집	
北極	ほっきょく	북극	
坊ちゃん	ぼっちゃん	"도련님, 도령"	
仏	ほとけ	"부처, 불상"	
炎	ほのお	"불꽃, 불길"	
堀	ほり	"수로, 해자"	
ぼろ		"넝마, 누더기"	
盆	ぼん	쟁반	
本格	ほんかく	본격	
本館	ほんかん	본관	
本国	ほんごく	본국	
本質	ほんしつ	본질	
本体	ほんたい	본체	
盆地	ぼんち	분지	
本部	ほんぶ	본부	
本文	ほんぶん	본문	
本来	ほんらい	본래	
間	ま	"사이, 간격"	
迷子	まいご	미아	
枚数	まいすう	"매수, 장수"	
幕	まく	"막, 천막"	
枕	まくら	베개	
摩擦	まさつ	마찰	
待合室	まちあいしつ	대합실	
街角	まちかど	"길모퉁이, 길목"	
真っ先	まっさき	"맨 앞, 맨 먼저"	
まとまり		"합침, 통합, 정리"	
まとめ		"정리, 수습"	
真似	まね	흉내	
まぶた		눈꺼풀	
円	まる	"원형, 동그라미"	
回り道	まわりみち	길을 돌아서 감	
満員	まんいん	만원	
満席	まんせき	"만석, 만원"	
満足	まんぞく	만족	
満点	まんてん	만점	
身	み	"몸, 신체"	
実	み	"열매, 과실"	
見かけ	みかけ	"외관, 겉보기"	
三日月	みかづき	초승달	
みさき		"갑, 곶"	
水着	みずぎ	수영복	
店屋	みせや	"점포, 가게"	
味噌	みそ	된장	
蜜	みつ	꿀	
未定	みてい	미정	
実り	みのり	"결실, 수확"	
身分	みぶん	"신분, 지위"	
未満	みまん	미만	
身元	みもと	"신분, 신원"	
明後日	みょうごにち	모레	
魅力	みりょく	매력	
民間	みんかん	민간	
民謡	みんよう	민요	
無視	むし	무시	
無地	むじ	민무늬	
虫歯	むしば	충치	
胸	むね	"가슴, 마음"	
紫	むらさき	"자색, 보랏빛"	
芽	め	싹	
めい		조카딸	
名作	めいさく	명작	
明示	めいじ	명시	
迷信	めいしん	미신	
名人	めいじん	"명인, 명수"	
名物	めいぶつ	명물	
めいめい		"각자, 제각기, 각각"	
目覚まし	めざまし	잠을 깸	
飯	めし	"밥, 식사"	
目下	めした	아랫사람	
目印	めじるし	"표시, 표지"	
めまい		현기증	
目安	めやす	"목표, 기준"	
綿	めん	"면, 무명"	
免許	めんきょ	면허	
免税	めんぜい	면세	
面積	めんせき	면적	
申し訳	もうしわけ	"변명, 해명"	
木材	もくざい	"목재, 재목"	
目次	もくじ	"목차, 차례"	
餅	もち	떡	
持ち物	もちもの	"소지품, 소유물"	
元	もと	"처음, 기원"	
基	もと	"근본, 기초, 토대"	
物置	ものおき	"헛간, 광"	
物音	ものおと	(무언가의) 소리	
物真似	ものまね	흉내	
模様	もよう	"모양, 무늬"	
問答	もんどう	"문답, 묻고 답함"	
やかん		주전자	
夜間	やかん	야간	
訳	やく	"역, 번역"	
役	やく	"직무, 역할"	
役者	やくしゃ	"배우, 광대"	
役作り	やくづくり	배우가 배역에 대해 연구함	
役人	やくにん	"관리, 공무원"	
薬品	やくひん	약품	
役割	やくわり	"역할, 임무"	
やけど		"화상, 뎀"	
夜行	やこう	야행	
矢印	やじるし	화살표	
薬局	やっきょく	약국	
家主	やぬし	"집주인, 가장"	
夜分	やぶん	"밤, 밤중"	
遊園地	ゆうえんち	유원지	
夕刊	ゆうかん	석간	
友好	ゆうこう	우호	
友情	ゆうじょう	우정	
優先	ゆうせん	우선	
夕立	ゆうだち	(여름 오후의) 소나기	
夕日	ゆうひ	석양	
郵便局	ゆうびんきょく	우체국	
床	ゆか	마루	
浴衣	ゆかた	여름철에 입는 무명 홑옷	
湯気	ゆげ	"김, 수증기"	
輸血	ゆけつ	수혈	
輸出	ゆしゅつ	수출	
輸送	ゆそう	수송	
ゆとり		여유	
輸入	ゆにゅう	수입	
指先	ゆびさき	"손끝, 발끝"	
夜明け	よあけ	새벽	
用語	ようご	용어	
要旨	ようし	요지	
幼児	ようじ	유아	
要所	ようしょ	"요소, 요점, 요지"	
様子	ようす	"모양, 상황"	
養成	ようせい	양성	
要素	ようそ	요소	
幼稚園	ようちえん	유치원	
要点	ようてん	요점	
洋品店	ようひんてん	양품점	
養分	ようぶん	영양분	
羊毛	ようもう	"양모, 양털"	
要領	ようりょう	요령	
予期	よき	"예기, 예상"	
浴室	よくしつ	욕실	
予算	よさん	예산	
予想	よそう	예상	
四つ角	よつかど	"네 모퉁이, 교차로"	
酔っ払い	よっぱらい	"술주정꾼, 취객"	
夜中	よなか	한밤중	
予備	よび	예비	
余分	よぶん	여분	
予報	よほう	예보	
読み物	よみもの	읽을거리	
嫁	よめ	며느리	
余裕	よゆう	여유	
喜び	よろこび	기쁨	
弱み	よわみ	"취약점, 약점"	
四割引	よんわりびき	40% 할인	
来場	らいじょう	그 장소에 옴	
利害	りがい	"이해, 득실, 손익"	
陸	りく	"육지, 물"	
離婚	りこん	이혼	
利点	りてん	이점	
裏面	りめん	"이면, 뒷면"	
流域	りゅういき	유역	
流通	りゅうつう	유통	
両側	りょうがわ	양측	
漁師	りょうし	"고기잡이, 어부"	
領事	りょうじ	영사	
良心	りょうしん	양심	
両立	りょうりつ	양립	
旅客	りょかく	여객	
旅券	りょけん	여권	
離陸	りりく	이륙	
臨時	りんじ	임시	
類	るい	"종류, 같은 부류"	
零点	れいてん	"영점, 빙점"	
零度	れいど	섭씨 0도	
歴史	れきし	역사	
列島	れっとう	열도	
恋愛	れんあい	연애	
連合	れんごう	연합	
連想	れんそう	연상	
ろうそく		"초, 양초"	
労働	ろうどう	노동	
論文	ろんぶん	논문	
和英	わえい	일본어와 영어	
わき		"겨드랑이, 옆"	
綿	わた	"목화, 솜"	
和服	わふく	일본 옷	
割り算	わりざん	나눗셈	
悪口	わるくち・わるぐち	욕	
碗	わん	(음식물을 담는) 공기	
湾	わん	"만, 바다가 육지로 굽어 후미진 곳"	
遭う	あう	"(어떤 일을 우연히) 겪다, 당하다"	
あおぐ		"부채질하다, 부치다"	
空ける	あける	"비우다, 짬을 내다"	
あきらめる		"포기하다, 단념하다"	
あきる		"싫증나다, 물리다"	
あきれる		"어이없다, 기가 막히다"	
味わう	あじわう	"맛보다, 경험하다"	
預かる	あずかる	"맡다, (남의 것을) 보관하다"	
暖まる・温まる	あたたまる	따뜻해지다	
暖める・温める	あたためる	따뜻하게 하다	
暴れる	あばれる	"난폭하게 굴다, 날뛰다"	
あぶる		"(불에) 쬐어 굽다, 말리다"	
余る	あまる	남다	
過つ	あやまつ	"잘못하다, 실수하다"	
改める	あらためる	"고치다, 개선하다"	
著す	あらわす	"저술하다, 저작하다"	
荒れる	あれる	(날씨가) 거칠어지다	
嫌がる	いやがる	싫어하다	
いる		"볶다, 지지다"	
飢える	うえる	굶주리다	
浮かぶ	うかぶ	"뜨다, 떠오르다, 나타나다"	
浮かべる	うかべる	"떠올리다, 생각해 내다"	
承る	うけたまわる	받다・듣다・맡다의 겸양어	
失う	うしなう	잃다	
撃つ	うつ	"발사하다, 쏘다"	
討つ	うつ	"공격하다, 정벌하다"	
映す	うつす	"비치게 하다, 투영하다"	
訴える	うったえる	"소송하다, 호소하다"	
写る	うつる	"비치다, 보이다"	
うなる		"신음하다, 으르렁거리다"	
奪う	うばう	빼앗다	
埋まる	うまる	"메워지다, 막히다"	
埋める	うめる	"묻다, 메우다"	
敬う	うやまう	"존경하다, 공경하다"	
占う	うらなう	점치다	
恨む	うらむ	"원망하다, 분하게 여기다"	
描く	えがく	"그리다, 묘사하다"	
負う	おう	"짊어지다, 맡다"	
犯す	おかす	"범하다, 어기다"	
拝む	おがむ	공손히 절하다	
遅らす	おくらす	늦추다	
怠る	おこたる	"게으름을 피우다, 소홀히 하다"	
押さえる	おさえる	억누르다	
納まる	おさまる	"납입되다, 납부되다"	
収まる	おさまる	"수습되다, 해결되다"	
治まる	おさまる	"고요해지다, 진정되다"	
恐れる	おそれる	"두려워하다, 무서워하다"	
おどかす		"으르다, 위협하다"	
及ぶ	およぶ	"이르다, 미치다, 달하다"	
及ぼす	およぼす	"미치게 하다, 끼치다"	
下りる	おりる	"내리다, 내려가다"	
織る	おる	(옷감 등을) 짜다	
折る	おる	"접다, 꺾다, 굽히다"	
降ろす	おろす	"내리다, 내려뜨리다"	
卸す	おろす	도매로 팔다	
帰す	かえす	돌려보내다	
代える	かえる	대신하다	
返る	かえる	"되돌아가다, 되돌아오다"	
替える・換える	かえる	"바꾸다, 교환하다"	
欠かす	かかす	"빠뜨리다, 빼먹다, 거르다"	
かがむ		"굽다, 굽히다"	
輝く	かがやく	빛나다	
かかわる		"관계되다, 상관하다"	
限る	かぎる	"제한하다, 한정하다"	
かく		"긁다, 할퀴다, (땀을) 흘리다"	
かぐ		냄새 맡다	
隠れる	かくれる	"숨다, 숨어있다"	
かじる		"갉아먹다, 베어 먹다"	
科する	かする	"(형벌・벌금을) 내리다, 과하다"	
課する	かする	"부과하다, 시키다"	
稼ぐ	かせぐ	돈을 벌다	
固まる	かたまる	"굳다, 딱딱해지다"	
担ぐ	かつぐ	"메다, 짊어지다"	
兼ねる	かねる	겸하다	
かぶせる		"덮다, 씌우다"	
からかう		"조롱하다, 놀리다"	
刈る	かる	"베다, 깎다"	
枯れる	かれる	"(초목이) 마르다, 시들다"	
かわいがる		귀여워하다	
代わる	かわる	"대신하다, 대리하다"	
刻む	きざむ	"잘게 썰다, 새기다"	
築く	きずく	"쌓다, 구축하다"	
嫌う	きらう	싫어하다	
切れる	きれる	"떨어지다, 다 되다"	
腐る	くさる	"썩다, 상하다, 부패하다"	
