挨拶	あいさつ	인사
～杯	～はい	~잔
～倍	～ばい	~배
灰色	はいいろ	"잿빛, 회색, 침울함"
廃止	はいし	폐지
配達	はいたつ	배달
配布	はいふ	배포
拍手	はくしゅ	박수
爆発	ばくはつ	폭발
激しい	はげしい	"격하다, 심하다"
恥	はじ	"부끄러움, 수치"
外す	はずす	"풀다, 벗다"
果たす	はたす	"(역할, 임무 등을) 완수하다"
働き手	はたらきて	"일꾼, 일손"
～発	～はつ	"~발, ~출발"
発揮	はっき	발휘
発射	はっしゃ	발사
発達	はったつ	발달
派手な	はでな	화려한
話しかける	はなしかける	말을 걸다
離れる	はなれる	"멀어지다, 떨어지다"
省く	はぶく	"줄이다, 생략하다"
破片	はへん	파편
場面	ばめん	장면
速さ	はやさ	빠르기
腹を立てる	はらおたてる	화를 내다
バランス		"밸런스, 균현"
針	はり	바늘
張り切る	はりきる	기운이 넘치다
範囲	はんい	범위
反映	はんえい	반영
パンク		"펑크, 터짐"
犯罪	はんざい	범죄
反省	はんせい	반성
反対	はんたい	반대
判断	はんだん	판단
半透明	はんとうめい	반투명
販売	はんばい	판매
被害	ひがい	피해
比較	ひかく	비교 
比較的な	ひかくてきな	비교적
～匹	～ひき	~마리
引き返す	ひきかえす	되돌아가다
引き止める	ひきとめる	"말리다, 붙잡다"
卑怯な	ひきょうな	비겁한
悲劇	ひげき	비극
非公式	ひこうしき	비공식
ビズネスマン風	ビズネスマンふう	비즈니스맨 풍
ひそひそ		소곤소곤
必死な	ひっしな	필사적인
びっしょり		흠뻑 젖음
必要な	ひつような	필요한
人柄	ひとがら	"인품, 성품"
等しい	ひとしい	동등하다
一仕事	ひとしごと	조금 일을 함
批判	ひはん	비판
批評	ひひょう	비평
皮膚	ひふ	피부
微妙な	びみょうな	미묘한
ひも		끈
費用	ひよう	비용
～秒	～びょう	~초
評価	ひょうか	평가
表現	ひょうげん	표현
標識	ひょうしき	"표지, 표식"
評判	ひょうばん	"평판, 유명함"
昼間	ひるま	"낮, 주간"
比例	ひれい	비례
拾う	ひろう	줍다
広がる	ひろがる	넓어지다
敏感な	びんかんな	민감한
不安	ふあん	불안
不安定	ふあんてい	불안적
ブーム		유행
ぶかぶか		헐렁헐렁
普及	ふきゅう	보급
副社長	ふくしゃちょう	부사장
副大臣	ふくだいじん	"부대신, 차관"
含む	ふくむ	포함하다
含める	ふくめる	"포함시키다, 내포하다"
塞ぐ	ふさぐ	"틀어막다, 가리다"
相応しい	ふさわしい	"적합하다, 어울리다"
不正確な	ふせいかくな	부정확한
夫婦	ふうふ	부부
複雑な	ふくざつな	복잡한
副社	ふくし	복지
舞台	ぶたい	무대
負担	ふたん	부담
物価	ぶっか	물가
物騒な	ぶっそうな	"뒤숭숭한, 위험한"
部分的な	ぶぶんてきな	부분적인
不平	ふへい	불평
ふもと		산기슭
ぶらぶら		"어슬렁어슬렁, 빈둥빈둥"
プラン		"플랜, 계획"
振り向く	ふりむく	(뒤)돌아보다
降る	ふる	"(눈, 비 등이) 내리다"
プレッシャー		압력
触れる	ふれる	"(문화, 주제 등을) 접하다, 접촉하다"
分解	ぶんかい	분해
文学賞	ぶんがくしょう	문학상
分析	ぶんせき	분석
分担	ぶんたん	분담
分野	ぶんや	"분야, 활동 범위"
平均	へいきん	평균
平和	へいわ	평화
隔てる	へだてる	"시야를 떼다, 멀리하다"
別会場	べつかいじょう	"다른 회장, 다른 장소"
減る	へる	줄다
返却	へんきゃく	"(책 등을) 반환, 반납"
勉強漬け	べんきょうづけ	공부에 열중임
変更	へんこう	변경
編集	へんしゅう	편집
返品	へんぴん	반품
貿易	ぼうえき	무역
報告書	ほうこくしょ	보고서
防災	ぼうさい	방재
帽子	ぼうし	모자
方針	ほうしん	방침
宝石	ほうせき	보석
豊富な	ほうふな	풍부한
方法	ほうほう	방법
方々	ほうぼう	여기저기
ほぼ		"거의, 대체로"
訪問	ほうもん	방문
法律	ほうりつ	법률
ボール状	ボールじょう	"둥근 형태, 둥근 모양"
朗らかな	ほがらかな	명랑한
星	ほし	별
募集	ぼしゅう	모집
保証	ほしょう	보증
補足	ほそく	보충
保存	ほぞん	보존
ほっと		안심하는 모양
骨	ほね	"뼈, 가시"
掘る	ほる	"파다, 캐다"
ほんの		"그저, 단지"
本物	ほんもの	"진짜, 실물"
ぼんやり		"멍하니, 흐릿하게"
真新しい	まあたらしい	아주 새롭다
まあまあ		그런대로
マイペース		"자기 나름의 방식, 마이페이스"
真後ろ	まうしろ	바로 뒤
間際	まぎわ	"직전, 바로 곁"
混じる	まじる	섞이다
増す	ます	"늘다, 증가하다"
貧しい	まずしい	"가난하다, 변변찮다"
乾く	かわく	"마르다, 건조되다"
祭り	まつり	축제
窓	まど	창문
招く	まねく	"초대하다, 부르다, 초래하다"
守る	まもる	지키다
迷う	まよう	"헤매다, 망설이다"
真夜中	まよなか	한밤중
稀な	まれな	"희귀한, 드문"
万年筆	まんねんひつ	만년필
磨く	みがく	닦다
未経験	みけいけん	미경험
見事な	みごとな	훌륭한
未使用	みしよう	미사용
湖	みずうみ	호수
自ら	みずから	스스로
見出し	みだし	"표제어, 헤드라인"
乱れる	みだれる	"흐트러지다, 흐려지다"
導く	みちびく	인도하다
密接な	みっせつな	밀접한
みっともない		보기 흉하다
密閉	みっぺい	밀폐
認める	みとめる	인정하다
皆	みな	모두
見逃す	みのがす	"못 보다, 놓치다"
見本	みほん	견본
耳にする	みみにする	듣다
妙な	みょうな	묘한
未来	みらい	미래
向かい	むかい	"맞은편, 건너편, 정면"
迎え	むかえ	"맞이, 마중"
迎える	むかえる	"마중하다, 맞이하다"
昔	むかし	옛날
むかつく		"화가 치밀다, 울컥하다"
無口な	むくちな	과묵한
無計画	むけいかく	무계획
矛盾	むじゅん	모순
娘	むすめ	딸
無責任な	むせきにんな	무책임한
夢中な	むちゅうな	"열중한, 몰두한"
村	むら	마을
群れ	むれ	"때, 무리"
明確な	めりかくな	명확한
名所	めいしょ	명소
目上	めうえ	"윗사람, 연장자"
恵まれる	めぐまれる	"(좋은 환경) 혜택을 받다, 풍족함을 누리다"
めくる		(책장) 넘기다
目指す	めざす	목표로 하다
珍しい	めずらしい	"진귀하다, 드물다"
面する	めんする	"면하다, 마주보다"
面接	めんせつ	면접
面倒な	めんどうな	"귀찮은, 번거로운"
申し込み	もうしこみ	신청
申し訳ない	もうしわけない	죄송하다
目的	もくてき	목적
持つ	もつ	가지다
最も	もっとも	"가장, 무엇보다도"
戻す	もどす	"(원래 자리, 상태로) 되돌리다"
求める	もとめる	"구하다, 청하다"
物語	ものがたり	이야기
物足りない	ものたりない	어딘가 부족하다
模範	もはん	모범
催し	もよおし	"모임, 행사"
最寄	もより	"가장 가까움, 근처"
文句	もんく	"불평, 불만"
やかましい		"시끄럽다, 떠들썩하다"
約	やく	"약, 대략"
役に立つ	やくにたつ	도움이 되다
役目	やくめ	"임무, 역할"
焼ける	やける	"(불)타다, 구워지다"
養う	やしなう	기르다
家賃	やちん	집세
雇う	やとう	고용하다
敗れる	やぶれる	"지다, 패배하다"
破れる	やぶれる	찢어지다
山のふもと	やまのふもと	산기슭
やむを得ない	やむをえない	"어쩔 수 없다, 부득이하다"
辞める	やめる	"사임하다, 그만두다"
やや		"약간, 다소"
柔らかい	やわらかい	"부드러운, 유연한"
有効な	ゆうこうな	유효한
優秀な	ゆうしゅうな	우수한
優勝	ゆうしょう	우승
ユーモア		유머
有利な	ゆうりな	유리한
愉快な	ゆかいな	유쾌한
行方	ゆくえ	행방
豊かな	ゆたかな	"풍요로운, 풍부한"
譲る	ゆずる	"양도하다, 양보하다, 넘기다"
油断	ゆだん	"방심, 부주의"
溶岩	ようがん	용암
陽気な	ようきな	명랑한
要求	ようきゅう	요구
容姿	ようし	용모
用心	ようじん	"조심, 주의"
容積	ようせき	"용적, 용량"
幼稚な	ようちな	유치한
用途	ようと	용도
予測	よそく	예측
世の中	よのなか	세상
呼び止める	よびとめる	불러 세우다
予約制	よやくせい	예약제
喜ぶ	よろこぶ	"기뻐하다, 좋아하다"
ヨーロッパ風	ヨーロッパふう	"유럽풍, 유럽식"
来学期	らいがっき	다음 학기
来シーズン	らいシーズン	다음 시즌
楽な	らくな	"편안한, 쉬운"
乱暴な	らんぼうな	난폭한
レーダー		"리더, 지도자"
利益	りえき	이익
理解	りかい	이해
利口な	りこうな	영리한
略する	りゃくする	"줄이다, 생략하다"
流行	りゅうこう	유행
両替	りょうがえ	환전
両国	りょうこく	양국
領収書	りょうしゅうしょ	영수증
リラックス		"릴랙스, 편안함"
例外	れいがい	예외
礼儀	れいぎ	예의
冷静な	れいせいな	냉정함
冷蔵庫	れいぞうこ	냉장고
冷凍	れいとう	냉동
歴史	れきし	역사
レジャー		"레저, 여가"
レベル		"레벨, 수준"
連続	れんぞく	연속
レンタル		"렌트, 대여"
連絡	れんらく	연락
論争	ろんそう	논쟁
輪	わ	"원형, 고리"
我がままな	わがままな	"제멋대로 구는, 제멋대로인"
沸く	わく	"끓다, 뜨거워지다"
わずか		"약간, 불과"
笑う	わらう	웃다
割合	わりあい	비율
割合に	わりあいに	비교적
割り込む	わりこむ	"끼어들다, 새치기하다"
わりと		비교적
割引	わりびき	할인
途端に	とたんに	바로 그 순간
外れる	はずれる	"제외되다, 벗어나다"
診断	しんだん	진단
住居	じゅうきょ	주거
典型的な	てんけいてきな	전형적인
昇る	のぼる	떠오르다
俳優	はいゆう	배우
欲	よく	욕심
貴団体	きだんたい	귀 단체
クリア		"통과, 클리어"
劇的に	げきてきに	극적으로
締め切る	しめきる	마감하다
交渉	こうしょう	교섭
進出	しんしゅつ	진출
接続	せつぞく	접속
ぞろぞろ		"졸졸, 줄줄"
書籍	しょせき	서적
とがっている		"뾰족하다, 예민하다"
荒れる	あれる	"거칠어지다, 날뛰다"
打ち合わせ	うちあわせ	"협의, 미리 상의함"
ベテラン		베테랑
頑固な	がんこな	완고한
運賃	うんちん	운임
平等	びょうどう	평등
善良な	ぜんりょうな	"선량한, 어진"
損失	そんしつ	손실
布	ぬの	천
絶えず	たえず	"늘, 끊임없이"
特定	とくてい	특정
盛り上がる	もりあがる	고조되다
飛びつく	とびつく	달려들다
話題	わだい	화제
リハーサル		리허설
真似る	まねる	흉내내다
概要	がいよう	개요
各自	かくじ	각자
暮れ	くれ	"저녁때, 한 해의 마지막"
印	しるし	"표, 표시"
妨げる	さまたげる	"방해하다, 지장을 주다"
残高	ざんだか	잔고
早期	そうき	조기
腫れる	はれる	붓다
上達	じょうたつ	숙달
