垢	あか	"때, 물때"	
推奨	すいしょう	"추장, 권함"	
推進	すいしん	추진	
水洗	すいせん	수세	
吹奏	すいそう	취주(입으로 불어서 연주함)	
衰退	すいたい	쇠퇴	
水田	すいでん	"수전, 논"	
出納	すいとう	출납	
水泡	すいほう	"수포, 물거품"	
崇拝	すうはい	숭배	
素手	すで	"맨손, 빈속"	
生育	せいいく	"(식물의) 생육, 자라서 커짐"	
成育	せいいく	"(동물의) 성육, 자람"	
精鋭	せいえい	정예	
西欧	せいおう	서구	
正規	せいき	정규	
正義	せいぎ	정의	
政局	せいきょく	정국	
政権	せいけん	정권	
制限	せいげん	제한	
制裁	せいさい	제재	
精算	せいさん	정산	
静止	せいし	정지(멈추어 움직이지 않음)	
静寂	せいじゃく	정적	
整然	せいぜん	정연(가지런하게 정돈되어 있음)	
盛装	せいそう	성장(옷을 화려하게 차려 입음)	
清濁	せいだく	청탁(맑음과 흐림)	
制定	せいてい	제정	
静的	せいてき	정적	
製鉄	せいてつ	제철	
精度	せいど	"정도, 정밀도"	
整頓	せいとん	정돈	
征服	せいふく	정복	
精密	せいみつ	정밀	
税務	ぜいむ	세무	
整列	せいれつ	정렬	
責務	せきむ	책무	
赤面	せきめん	얼굴을 붉힘	
施工	せこう・しこう	시공	
是正	ぜせい	시정(그릇된 것을 바로잡음)	
絶賛	ぜっさん	"절찬, 극찬"	
設置	せっち	설치	
折衷	せっちゅう	절충	
窃盗	せっとう	절도	
折半	せっぱん	"절반, 반분함"	
絶版	ぜっぱん	절판	
絶望	ぜつぼう	절망	
是非	ぜひ	"시비, 옳고 그름"	
世論	せろん・よろん	여론	
繊維	せんい	섬유	
全快	ぜんかい	"전쾌, 완쾌"	
旋回	せんかい	선회	
宣教	せんきょう	선교	
宣言	せんげん	선언	
戦災	せんさい	전재(전쟁으로 인한 재해)	
専修	せんしゅう	"전수, 전공"	
戦術	せんじゅつ	전술	
善処	ぜんしょ	선처	
潜水	せんすい	잠수	
宣誓	せんせい	선서	
全盛	ぜんせい	전성(기)	
前提	ぜんてい	전제	
前途	ぜんと	"전도, 앞길"	
銭湯	せんとう	공중 목욕탕	
戦闘	せんとう	전투	
先導	せんどう	선도	
潜入	せんにゅう	잠입	
専念	せんねん	전념	
船舶	せんぱく	선박	
羨望	せんぼう	선망	
全滅	ぜんめつ	전멸	
専用	せんよう	전용	
旋律	せんりつ	선율	
占領	せんりょう	점령	
善良	ぜんりょう	선량	
先例	せんれい	"선례, 전례"	
前例	ぜんれい	전례	
洗練	せんれん	세련	
総会	そうかい	총회	
創刊	そうかん	창간	
臓器	ぞうき	장기	
雑木	ぞうき	잡목	
増強	ぞうきょう	증강	
創建	そうけん	창건	
相互	そうご	상호	
総合	そうごう	종합	
捜査	そうさ	수사	
捜索	そうさく	수색	
喪失	そうしつ	상실	
操縦	そうじゅう	조종	
瘦身	そうしん	"수신, 야윈 몸"	
増進	ぞうしん	증진	
創造	そうぞう	창조	
相対	そうたい	상대	
争奪	そうだつ	쟁탈	
装着	そうちゃく	창작	
想定	そうてい	상정	
贈呈	ぞうてい	증정	
騒動	そうどう	소동	
遭難	そうなん	조난	
装備	そうび	장비	
双璧	そうへき	쌍벽	
創立	そうりつ	창립	
阻害	そがい	저해	
即死	そくし	즉사	
促進	そくしん	촉진	
即席	そくせき	즉석	
測定	そくてい	측정	
束縛	そくばく	속박	
狙撃	そげき	저격	
組織	そしき	조직	
素質	そしつ	소질	
蘇生	そせい	"소생, 되살아남"	
疎通	そつう	소통	
即刻	そっこく	"즉각, 곧"	
率先	そっせん	솔선	
尊厳	そんげん	존엄	
存続	そんぞく	존속	
退化	たいか	퇴화	
退却	たいきゃく	"퇴각, 후퇴"	
耐久	たいきゅう	"내구, 오래 견딤"	
体現	たいげん	"체현, 구현"	
退治	たいじ	퇴치	
大衆	たいしゅう	대중	
対処	たいしょ	대처	
態勢	たいせい	태세	
大勢	たいせい	대세	
対戦	たいせん	대전	
対談	たいだん	대담(서로 이야기를 주고 받음)	
台帳	だいちょう	"대장, 장부"	
台頭	たいとう	대두(세력을 뻗음)	
滞納	たいのう	체납	
代弁	だいべん	대변	
待望	たいぼう	대망	
怠慢	たいまん	태만	
貸与	たいよ	대여	
楕円	だえん	타원	
達筆	たっぴつ	달필(글씨나 문장을 잘 씀)	
打撃	だげき	타격	
妥結	だけつ	타결	
駄作	ださく	졸작	
打診	だしん	"타진, (상대방을) 떠봄, 알아봄"	
脱出	だっしゅつ	탈출	
達人	たつじん	달인	
脱税	だつぜい	탈세	
多発	たはつ	"다발, 많이 발생함"	
担架	たんか	들것	
段階	だんかい	단계	
嘆願	たんがん	탄원	
弾丸	だんがん	탄환	
探求	たんきゅう	탐구	
団結	だんけつ	단결	
探検	たんけん	탐험	
短縮	たんしゅく	단축	
断絶	だんぜつ	단절	
炭素	たんそ	탄소	
探知	たんち	탐지	
断念	だんねん	단념	
短波	たんぱ	단파	
談判	だんぱん	담판	
断面	だんめん	단면	
弾力	だんりょく	탄력	
鍛錬	たんれん	"단련, 연마"	
談話	だんわ	담화	
知己	ちき	"지기, 지인"	
畜産	ちくさん	축산	
蓄積	ちくせき	축적	
秩序	ちつじょ	질서	
窒息	ちっそく	질식	
着実	ちゃくじつ	착실	
着手	ちゃくしゅ	착수	
着色	ちゃくしょく	착색	
着目	ちゃくもく	"착목, 주목, 착안"	
着工	ちゃっこう	착공	
仲裁	ちゅうさい	중재	
抽出	ちゅうしゅつ	추출	
中傷	ちゅうしょう	중상	
中和	ちゅうわ	중화	
調印	ちょういん	조인	
聴覚	ちょうかく	청각	
兆候	ちょうこう	"징후, 조짐"	
聴講	ちょうこう	청강	
彫刻	ちょうこく	조각	
調停	ちょうてい	"조정, 중재"	
重複	ちょうふく・じゅうふく	중복	
貯金	ちょきん	저금	
著述	ちょじゅつ	저술	
著書	ちょしょ	저서	
貯蓄	ちょちく	저축	
賃金	ちんぎん	임금	
沈殿	ちんでん	침전(밑바닥에 가라앉음)	
沈没	ちんぼつ	침몰	
追憶	ついおく	추억	
追求	ついきゅう	추구	
追跡	ついせき	추적	
追放	ついほう	추방	
墜落	ついらく	추락	
痛感	つうかん	통감	
津波	つなみ	해일	
提案	ていあん	제안	
定義	ていぎ	정의	
提供	ていきょう	제공	
提携	ていけい	제휴	
体裁	ていさい	"① 외관, 겉모양 ② 체면"	
停止	ていし	정지(하던 일을 중도에 멈춤)	
呈示	ていじ	"꺼내 보임, 제시"	
提示	ていじ	제시	
提唱	ていしょう	제창	
停滞	ていたい	(자금 · 경기 · 업무 등의) 정체	
低調	ていちょう	저조	
堤防	ていぼう	"제방, 둑"	
定理	ていり	(수학 · 공식 등의) 정리	
適応	てきおう	적응	
適宜	てきぎ	적당함	
摘出	てきしゅつ	"적출, 집어냄, 들추어 냄"	
適性	てきせい	적성	
摘発	てきはつ	적발	
手際	てぎわ	"솜씨, 수완"	
手口	てぐち	(범죄) 수법	
手錠	てじょう	수갑	
手数	てすう	수고	
撤回	てっかい	철회	
撤去	てっきょ	철거	
鉄鋼	てっこう	철강	
撤収	てっしゅう	철수	
鉄則	てっそく	철칙	
撤退	てったい	"철퇴, 철수"	
鉄棒	てつぼう	철봉	
転嫁	てんか	"전가, 떠넘김"	
転換	てんかん	전환	
伝言	でんごん	전언	
添削	てんさく	첨삭	
伝説	でんせつ	전설	
伝達	でんたつ	전달	
転任	てんにん	전임	
天罰	てんばつ	천벌	
転覆	てんぷく	전복	
店舗	てんぽ	점포	
展望	てんぼう	전망	
伝来	でんらい	전래	
転落	てんらく	전락	
投機	とうき	투기	
討議	とうぎ	토의	
動機	どうき	동기	
同居	どうきょ	동거	
陶芸	とうげい	도자기 공예	
投稿	とうこう	투고	
投合	とうごう	"투합, (마음 따위가) 서로 딱 맞음"	
動向	どうこう	동향	
投資	とうし	투자	
同士	どうし	"한패, ~끼리"	
同志	どうし	동지	
同情	どうじょう	동정	
統制	とうせい	통제	
銅像	どうぞう	동상	
統率	とうそつ	통솔	
到達	とうたつ	도달	
統治	とうち	통치	
登頂	とうちょう	등정(산 꼭대기에 올라감)	
同調	どうちょう	동조	
同等	どうとう	동등	
投入	とうにゅう	투입	
同封	どうふう	동봉	
答弁	とうべん	답변	
動揺	どうよう	동요	
登録	とうろく	등록	
度胸	どきょう	"담력, 배짱"	
得策	とくさく	상책	
特集	とくしゅう	특집	
独奏	どくそう	독주	
独創	どくそう	독창	
独断	どくだん	독단	
特派	とくは	특파	
匿名	とくめい	익명	
途上	とじょう	"도상, 도중"	
特許	とっきょ	특허	
特権	とっけん	특권	
突端	とったん	쑥 내민 끝	
突破	とっぱ	돌파	
土手	どて	"둑, 제방"	
殿様	とのさま	"나리, 영주님"	
土俵	どひょう	씨름판	
途方	とほう	"① 수단, 방도 ② 조리, 도리"	
渡来	とらい	도래	
鳥肌	とりはだ	소름	
取引	とりひき	거래	
奴隷	どれい	노예	
徒労	とろう	헛수고	
泥沼	どろぬま	"수렁, 진창"	
内蔵	ないぞう	내장(내부에 가지고 있음)	
内乱	ないらん	내란	
仲人	なこうど	중매(인)	
名残	なごり	"여운, 흔적"	
雪崩	なだれ	눈사태	
生身	なまみ	"날고기, 생고기"	
奈落	ならく	"나락, 밑바닥"	
任意	にんい	임의	
認識	にんしき	인식	
人情	にんじょう	인정	
妊娠	にんしん	임신	
任務	にんむ	임무	
音色	ねいろ	음색	
熱意	ねつい	열의	
熱湯	ねっとう	"열탕, 뜨거운 물"	
熱量	ねつりょう	열량	
粘液	ねんえき	점액	
年賀	ねんが	"연하, 신년 축하"	
年鑑	ねんかん	연감	
捻出	ねんしゅつ	"염출, 각출"	
燃焼	ねんしょう	연소	
年配	ねんぱい	"① 연배, 나이 또래 ② 중년"	
念仏	ねんぶつ	염불	
燃料	ねんりょう	연료	
年輪	ねんりん	연륜	
農耕	のうこう	농경	
濃縮	のうしゅく	농축	
把握	はあく	파악	
排気	はいき	배기	
廃棄	はいき	폐기	
配給	はいきゅう	배급	
背景	はいけい	배경	
背後	はいご	배후	
拝借	はいしゃく	삼가 빌려 씀	
排出	はいしゅつ	"배출, 배설"	
輩出	はいしゅつ	배출(인재가 연달아 많이 나옴)	
排除	はいじょ	배제	
賠償	ばいしょう	배상(손해를 물어줌)	
配信	はいしん	(정보 · 데이터 등의) 전송	
排水	はいすい	배수	
廃水	はいすい	폐수	
排斥	はいせき	배척	
敗戦	はいせん	패전	
背任	はいにん	배임(임무를 저버림)	
敗北	はいぼく	패배	
培養	ばいよう	배양	
倍率	ばいりつ	배율	
配慮	はいりょ	배려	
破壊	はかい	파괴	
波及	はきゅう	파급	
迫害	はくがい	박해	
爆撃	ばくげき	폭격	
薄弱	はくじゃく	"박약, 빈약"	
白状	はくじょう	자백	
剝奪	はくだつ	박탈	
爆弾	ばくだん	폭탄	
爆破	ばくは	폭파	
派遣	はけん	파견	
破綻	はたん	파탄	
蜂蜜	はちみつ	"봉밀, 벌꿀, 꿀"	
発育	はついく	발육	
発芽	はつが	발아	
発覚	はっかく	발각	
発掘	はっくつ	발굴	
発現	はつげん	발현	
伐採	ばっさい	벌채	
発注	はっちゅう	발주	
発熱	はつねつ	발열	
発病	はつびょう	발병	
発泡	はっぽう	발포(거품이 일어남)	
発砲	はっぽう	발포(총포를 쏨)	
破裂	はれつ	파열	
繫栄	はんえい	번영	
反感	はんかん	반감	
反響	はんきょう	반항	
反撃	はんげき	반격	
判決	はんけつ	판결	
犯罪	はんざい	범죄	
反射	はんしゃ	반사	
万障	ばんしょう	만사	
判然	はんぜん	"판연, 명백함"	
万端	ばんたん	"만반, 모든 사항이나 수단"	
範疇	はんちゅう	"범주, 카테고리"	
判定	はんてい	판정	
万人	ばんにん	만인	
晩年	ばんねん	"만년, 노년"	
反応	はんのう	반응	
万能	ばんのう	만능	
反乱	はんらん	반란	
氾濫	はんらん	범람	
被害	ひがい	피해	
日陰	ひかげ	"응달, 그늘"	
悲観	ひかん	비관	
否決	ひけつ	부결	
秘訣	ひけつ	비결	
非行	ひこう	비행(도덕에 어긋난 행위)	
比重	ひじゅう	비중	
微笑	びしょう	미소	
皮相	ひそう	"피상, 거죽, 표면"	
秘蔵	ひぞう	비장	
備蓄	びちく	비축	
必修	ひっす・ひっしゅう	필수	
必然	ひつぜん	필연	
匹敵	ひってき	필적	
一頃	ひところ	"한때, 한동안, 왕년"	
一筋	ひとすじ	"한줄기, 외곬, 일편단심"	
人波	ひとなみ	"인파, 사람의 물결"	
人目	ひとめ	남의 눈	
一目	ひとめ	"한 번(만) 봄, 한눈(에 들어오는 모양)"	
皮肉	ひにく	"빈정거림, 비꼼, 야유"	
火花	ひばな	"불꽃, 불똥, 불티"	
美貌	びぼう	미모	
悲鳴	ひめい	비명	
罷免	ひめん	파면	
飛躍	ひやく	비약	
描写	びょうしゃ	모샤	
表彰	ひょうしょう	표창	
病状	びょうじょう	"병상, 병세"	
評判	ひょうばん	"평판, 인기가 있음"	
肥沃	ひよく	비옥함	
比率	ひりつ	비율	
肥料	ひりょう	비료	
微量	びりょう	"미량, 극소량"	
秘話	ひわ	비화	
貧血	ひんけつ	빈혈	
貧困	ひんこん	빈곤	
便乗	びんじょう	편승	
頻度	ひんど	빈도	
貧乏	びんぼう	"빈공, 가난"	
封鎖	ふうさ	봉쇄	
風俗	ふうぞく	풍속	
負荷	ふか	"부하, 짐을(임무를) 짐"	
不吉	ふきつ	불길	
普及	ふきゅう	보급	
不朽	ふきゅう	"불후, 불멸"	
布教	ふきょう	"포교, 전도"	
複合	ふくごう	복합	
複写	ふくしゃ	복사	
服従	ふくじゅう	복종	
服装	ふくそう	복장	
覆面	ふくめん	복면	
福利	ふくり	"복리, 복지"	
富豪	ふごう	"부호, 갑부"	
布告	ふこく	(전쟁의 선전)포고	
負債	ふさい	부채	
腐食	ふしょく	부식	
不振	ふしん	부진	
武装	ぶそう	무장	
不遜	ふそん	"불손, 무례"	
負担	ふたん	부담	
不断	ふだん	"부단함, 끊임없음"	
復活	ふっかつ	부활	
物議	ぶつぎ	물의	
物質	ぶっし	물자	
払拭	ふっしょく	불식	
物色	ぶっしょく	물색	
仏像	ぶつぞう	불상	
物体	ぶったい	물체	
沸騰	ふっとう	"비등, 끓어오름"	
腐敗	ふはい	부패	
不評	ふひょう	불평	
訃報	ふほう	부고	
扶養	ふよう	부양	
不慮	ふりょ	"의외, 뜻밖"	
浮力	ふりょく	부력	
武力	ぶりょく	무력	
噴火	ふんか	분화	
憤慨	ふんがい	분개	
奮起	ふんき	"분기, 분발"	
分業	ぶんぎょう	분업	
憤激	ふんげき	격분	
粉砕	ふんさい	분쇄	
分際	ぶんざい	"분수, 주제"	
分散	ぶんさん	분산	
紛失	ふんしつ	분실	
噴射	ふんしゃ	분사	
噴出	ふんしゅつ	분출	
紛争	ふんそう	분쟁	
分担	ぶんたん	분담	
文通	ぶんつう	편지 왕래	
奮闘	ふんとう	분투	
粉末	ふんまつ	분말	
分離	ぶんり	분리	
分裂	ぶんれつ	분열	
兵器	へいき	"병기, 무기"	
閉業	へいぎょう	폐업	
並行	へいこう	병행	
閉口	へいこう	"질림, 손듦, 질색, 항복함"	
米穀	べいこく	"미곡, 곡물"	
平常	へいじょう	"평상, 평소, 보통"	
閉幕	へいまく	폐막	
並列	へいれつ	"병렬, 줄을 지음"	
別途	べっと	별도(로)	
変革	へんかく	변혁	
返還	へんかん	반환	
偏見	へんけん	편견	
弁護	べんご	변호	
弁償	べんしょう	변상	
弁舌	べんぜつ	"변설, 언변"	
変遷	へんせん	변천	
変動	へんどう	변동	
変貌	へんぼう	변모	
変容	へんよう	변용	
弁論	べんろん	변론	
保育	ほいく	보육	
方案	ほうあん	방안	
法案	ほうあん	법안	
防衛	ぼうえい	방위	
貿易	ぼうえき	무역	
崩壊	ほうかい	붕괴	
望外	ぼうがい	"망외, 기대한 이상임"	
放棄	ほうき	포기	
防御	ぼうぎょ	방어	
封建	ほうけん	봉건	
冒険	ぼうけん	모험	
方策	ほうさく	방책	
豊作	ほうさく	풀작	
報酬	ほうしゅう	보수	
放出	ほうしゅつ	방출	
紡績	ぼうせき	방적	
放置	ほうち	방치	
傍聴	ぼうちょう	방청	
膨張	ぼうちょう	팽창	
法定	ほうてい	법정	
報道	ほうどう	보도	
冒頭	ぼうとう	"모두, 서두"	
暴動	ぼうどう	폭동	
冒涜	ぼうとく	모독	
放任	ほうにん	방임	
褒美	ほうび	포상	
抱負	ほうふ	포부	
暴風	ぼうふう	폭풍	
暴落	ぼうらく	폭락	
暴力	ぼうりょく	폭력	
保温	ほおん	보온	
捕獲	ほかく	포획	
保管	ほかん	보관	
補給	ほきゅう	보급	
補強	ほきょう	보강	
募金	ぼきん	모근	
撲滅	ぼくめつ	박멸	
捕鯨	ほげい	"포경, 고래잡이"	
保持	ほじ	유지	
保障	ほしょう	보장	
補償	ほしょう	보상	
舗装	ほそう	포장	
勃起	ぼっき	"발기, 갑자기 일어남"	
勃興	ぼっこう	"발흥, 진흥"	
発作	ほっさ	발작	
没収	ぼっしゅう	몰수	
発足	ほっそく	발족	
発端	ほったん	"발단, 시초"	
勃発	ぼっぱつ	발발	
没落	ぼつらく	몰락	
保養	ほよう	보양	
捕虜	ほりょ	포로	
本能	ほんのう	본능	
本末	ほんまつ	본말	
本望	ほんもう	"본망, 숙원"	
翻弄	ほんろう	"본롱, 농락"	
本論	ほんろん	본론	
埋設	まいせつ	매설	
埋蔵	まいぞう	매장	
埋没	まいぼつ	매몰	
真上	まうえ	바로 위	
真心	まごころ	"진심, 정성"	
真下	ました	"바로 밑, 바로 아래"	
麻酔	ますい	마취	
街角	まちかど	길모퉁이	
抹消	まっしょう	말소	
末梢	まっしょう	"말초, 맨끝"	
末端	まったん	말단	
麻痺	まひ	마비	
満場	まんじょう	만장	
慢性	まんせい	만성	
身内	みうち	"온 몸, 전신, 집안"	
味覚	みかく	미각	
身柄	みがら	"신분, 신병"	
水気	みずけ	"수분, 물기"	
未然	みぜん	미연	
道端	みちばた	"길의 주변, 길가"	
密度	みつど	밀도	
妙案	みょうあん	묘안	
民衆	みんしゅう	민중	
無縁	むえん	"무연고, 관계가 없음"	
無効	むこう	무효	
無断	むだん	무단	
無念	むねん	무념	
迷信	めいしん	미신	
命中	めいちゅう	명중	
名簿	めうぼ	명부	
目方	めかた	"무게, 중량"	
目線	めせん	"눈길, 시선"	
滅亡	めつぼう	멸망	
免疫	めんえき	면역	
免職	めんしょく	면직	
免責	めんせき	면책	
面倒	めんどう	"① 귀찮음 ② 돌봄, 보살핌"	
面目	めんぼく・めんもく	"면목, 체면"	
猛暑	もうしょ	"혹서, 심한 더위"	
妄想	もうそう	망상	
盲点	もうてん	맹점	
目撃	もくげき	목격	
黙認	もくにん	묵인	
模索	もさく	모색	
物事	ものごと	"세상사, 매사"	
喪服	もふく	상복	
模倣	もほう	모방	
模様	もよう	"모양, 무늬"	
役柄	やくがら	"직무의 성질, 직책이 있는 신분"	
役職	やくしょく	"직무, 관리직"	
躍進	やくしん	약진	
役場	やくば	"지방 공무원이 사무를 보는 곳, (공증인 · 법무사의) 사무소"	
役割	やくわり	역할	
屋敷	やしき	"대지, 집의 부지, 저택"	
遺言	ゆいごん	유언	
優越	ゆうえつ	우월	
誘拐	ゆうかい	유괴	
有機	ゆうき	유기	
融合	ゆうごう	융합	
融資	ゆうし	융자	
有終	ゆうしゅう	"유종, 끝을 잘 맺음"	
優勢	ゆうせい	우세	
優先	ゆうせん	우선	
悠然	ゆうぜん	유연(침착하고 여유가 있는 모양)	
誘致	ゆうち	"유치, 불러들임"	
誘導	ゆうどう	유도	
誘発	ゆうはつ	유발	
優美	ゆうび	우아하고 아름다움	
郵便	ゆうびん	우편	
雄弁	ゆうべん	웅변	
遊牧	ゆうぼく	유목	
夕闇	ゆうやみ	"땅거미, 황혼"	
憂慮	ゆうりょ	우려	
融和	ゆうわ	융화	
夢路	ゆめじ	꿈길	
余韻	よいん	여운	
要因	よういん	요인	
溶液	ようえき	용액	
妖怪	ようかい	"요괴, 도깨비"	
養護	ようご	양호	
様式	ようしき	양식	
容赦	ようしゃ	용서	
養生	ようじょう	"보양, (건축) 파손 방지의 손질"	
養殖	ようしょく	양식	
要人	ようじん	요인	
要請	ようせい	요청	
養成	ようせい	양성	
様相	ようそう	양상	
洋風	ようふう	"서양풍, 서양식"	
要約	ようやく	요약	
余暇	よか	여가	
予感	よかん	예감	
余興	よきょう	여흥	
抑圧	よくあつ	억압	
欲望	よくぼう	욕망	
抑揚	よくよう	억양	
抑留	よくりゅう	억류	
予言	よげん	예언	
予告	よこく	예고	
横綱	よこづな	"씨름꾼의 최고위, 제1인자"	
予想	よそう	예상	
予測	よそく	예측	
余談	よだん	여담	
予兆	よちょう	"예조, 전조, 징조"	
欲求	よっきゅう	욕구	
輿論	よろん	여론	
弱音	よわね	"약한 말, 나약한 말"	
落胆	らくたん	낙담	
酪農	らくのう	낙농	
拉致	らち・らっち	납치	
濫用	らんよう	남용	
理屈	りくつ	"도리, 이치"	
利子	りし	이자	
利潤	りじゅん	이윤	
理性	りせい	이성	
利息	りそく	이자	
立脚	りっきゃく	입각	
利便	りべん	"편리, 편의"	
略奪	りゃくだつ	약탈	
留保	りゅうほ	"유보, 보류"	
領域	りょういき	영역	
領海	りょうかい	영해	
両極	りょうきょく	양극	
良質	りょうしつ	양질	
良識	りょうしき	양식	
領地	りょうち	영지	
領土	りょうど	영토	
旅券	りょけん	여권	
理論	りろん	이론	
輪郭	りんかく	윤곽	
林業	りんぎょう	임업	
臨終	りんじゅう	임종	
倫理	りんり	윤리	
類推	るいすい	유추	
冷蔵	れいぞう	냉장	
列挙	れっきょ	열거	
連係	れんけい	연계	
連結	れんけつ	연결	
連行	れんこう	연행	
連中	れんちゅう	"한 패, 동아리, 일당, 그 패들"	
連邦	れんぽう	연방	
連盟	れんめい	연맹	
朗読	ろうどく	낭독	
狼狽	ろうばい	"당황함, 허둥지둥함"	
浪費	ろうひ	낭비	
朗報	ろうほう	좋은 소식	
労務	ろうむ	노무	
労力	ろうりょく	"노력, 수고"	
録画	ろくが	녹화	
露出	ろしゅつ	노출	
露店	ろてん	노점	
論議	ろんぎ	논의	
論陣	ろんじん	논진	
惑星	わくせい	혹성	
枠内	わくない	"테두리 안, 범위 내"	
湾曲	わんきょく	활 모양으로 굽음	
腕力	わんりょく	"완력, (팔의) 힘"	
上がり	あがり	"끝남, (근무 · 일) 마침"	
頭打ち	あたまうち	한계점에 이름	
跡継ぎ	あとつぎ	"대를 이음, 후계자"	
あられ		싸락눈	
いびき		꼬고는 소리	
いんちき		"부정, 사기, 엉터리임"	
うたたね		"선잠, 얕은 잠"	
有頂天	うちょうてん	"기뻐서 어쩔 줄 모름, 기고만장"	
うなぎのぼり		빠르게 올라감	
うぬぼれ		자부(심)	
裏返し	うらがえし	뒤집음	
奥の手	おくのて	"오의, 비법"	
おすそ分け	おすそわけ	얻은 것의 일부를 남에게 나누어 줌	
おまけ		"값을 깎음, 덤, 경품"	
表向き	おもてむき	"공공연함, 표면상"	
かかと		발뒤꿈치	
駆け足	かけあし	"뛰어감, 구보"	
かすみ		안개(특히 봄안개를 이름)	
かたわら		"옆, 곁"	
画期的	かっきてき	획기적임	
金づち	かなづち	"쇠망치, 수영을 못하는 사람"	
花粉症	かふんしょう	꽃가루 알레르기	
体付き	からだつき	"몸매, 체격"	
かんがい		관개	
感無量	かんむりょう	감개무량	
貫ろく	かんろく	관록	
気兼ね	きがね	"어렵게 여김, 스스럼"	
気まぐれ	きまぐれ	변덕	
きまじめ		고지식함	
くじ		"제비, 추첨"	
くちばし		"부리, 주둥이"	
けだもの		짐승	
研さん	けんさん	"연찬, (학문 등을) 깊이 연구함"	
向学心	こうがくしん	향학열	
高齢化	こうれいか	고령화	
言づて	ことづて	"의탁, 전갈, 전언"	
差し引き	さしひき	"공제, 정산 결과"	
さなか		한창 ~인 때	
仕打ち	しうち	(남에 대한) 처사	
仕掛け	しかけ	"장치, 속임수"	
仕組み	しくみ	구조	
刺しゅう	ししゅう	자수	
しずく		물방울	
下調べ	したしらべ	"예비 조사, 예습"	
しつけ		예의 범절을 가르침	
下取り	したどり	신품의 대금 일부로 중고품을 판매자가 인수하는 일	
しにょう		대소변	
従業員	じゅうぎょういん	종업원	
終始一貫	しゅうしいっかん	시종일관	
正念場	しょうねんば	중요한 고비	
植民地	しょくみんち	식민지	
所持品	しょじひん	소지품	
ずぶぬれ		흠뻑 젖음	
擦れ違い	すれちがい	"마주 스쳐 지나감, 엇갈림"	
政府筋	せいふすじ	정부 소식통	
税務署	ぜいむしょ	세무서	
精力的	せいりょくてき	정력적임	
せがれ		"(자신의) 아들놈, 자식"	
そっぽ		"다른 쪽, 딴 쪽"	
そり		썰매	
そろい		(빠짐없이) 모두 갖추어짐	
たきび		모닥불	
たるみ		느슨함	
断トツ	ダントツ	단연 톱	
蛋白質	たんぱくしつ	단백질	
宙返り	ちゅうがえり	"공중제비, 공중회전"	
継ぎ目	つぎめ	"이음매, 이은 자리"	
つば		침	
つぼ		"단지, 항아리"	
つぼみ		꽃봉오리	
釣り鐘	つりがね	"조종, 범종"	
手がかり	てがかり	"단서, 실마리"	
できもの		"부스럼, 종기"	
手さばき	てさばき	손놀림	
手つかず	てつかず	"아직 손을 안 댐, 한 번도 쓰지 않음"	
手付き	てつき	"솜씨, 손놀림"	
手直し	てなおし	불완전한 곳을 고침	
出直し	でなおし	다시 함	
手の平	てのひら	손바닥	
伝統的	でんとうてき	전통적	
戸締まり	とじまり	문단속	
戸惑い	とまどい	"당황함, 허둥댐, 당혹함"	
共働き	ともばたらき	맞벌이	
共稼ぎ	ともかせぎ	맞벌이	
虎の巻	とらのまき	"병법의 비전서, 자습서"	
取り柄	とりえ	"취할 점, 쓸모, 장점"	
取り返し	とりかえし	"되찾음, 만회, 복원"	
取替えっこ	とりかえっこ	서로 바꿈	
取り崩し	とりくずし	"허는 일, 철거"	
とりこ		"사로잡힌 사람, 포로"	
取り調べ	とりしらべ	"조사, 수사, 문초, 신문"	
取り所	とりどころ	"취할 점, 장점"	
度忘れ	どわすれ	깜빡 잊어버림	
なぎさ		"물가, 둔치"	
何より	なにより	"최상, 제일"	
並大抵	なみたいてい	이만저만함	
にきび		여드름	
値打ち	ねうち	"가치, 값어치"	
ねばり		"찰기, 끈기"	
根回し	ねまわし	사전 교섭	
念入り	ねんいり	"조심스러움, 공들임"	
廃棄物	はいきぶつ	폐기물	
ばい菌	ばいきん	세균	
配偶者	はいぐうしゃ	배우자	
排せつ	はいせつ	배설	
橋渡し	はしわたし	"다리를 놓음, 가설, 중개, 중매"	
裸足	はだし	맨발	
発起人	ほっきにん	발기인	
抜てき	ばってき	발탁	
花びら	はなびら	꽃잎	
繫華街	はんかがい	번화가	
被害者	ひがいしゃ	피해자	
被疑者	ひぎしゃ	"피의자, 용의자"	
一角	ひとかど	"한 사람 몫, 제구실, 어엿함"	
人並み	ひとなみ	"보통 정도, 남과 같음"	
日取り	ひどり	"날짜를 정함, 기일, 일정"	
ひなた		"양지, 양달"	
披露宴	ひろうえん	피로연	
ピンはね		삥땅 침	
不可解	ふかかい	"불가해, 이해할 수 없음"	
不可欠	ふかけつ	불가결	
不祥事	ふしょうじ	불상사	
不条理	ふじょうり	부조리	
平行線	へいこうせん	평행선	
ほとり		"근처, 부근"	
前売り	まえうり	예매	
真っ二つ	まっぷたつ	"두 동강, 딱 절반"	
まばたき		깜박임	
丸ごと	まるごと	"통째(로), 온통"	
まり		"공, 볼"	
まんえん		만연	
真ん前	まんまえ	"바로 앞, 정면"	
見込み	みこみ	"전망, 예정"	
微じん	みじん	"미진, 작은 먼지"	
見積もり	みつもり	"어림, 견적"	
見通し	みとおし	"전망, 장래의 예측"	
